S332 Raw Data

Start Date Time,14.May 2026 10:14
End Date Time,15.May 2026 10:14
Sample Rate(sec),10
NO.Of Channels,50

No.,Channel,Sensor,Unit,Resolution,Location/Measurement Point
1,CH1,Sensor 1,mV,0.0000000000000001,Location 1/MP001
2,CH2,Sensor 2,mV,0.0000000000000001,Location 2/MP001
3,CH3,Sensor 3,mV,0.0000000000000001,Location 3/MP001
4,CH4,Sensor 4,mV,0.0000000000000001,Location 4/MP001
5,CH5,Sensor 5,mV,0.0000000000000001,Location 5/MP001
6,CH6,Sensor 6,mV,0.0000000000000001,Location 6/MP001
7,CH7,Sensor 7,mV,0.0000000000000001,Location 7/MP001
8,CH8,Sensor 8,mV,0.0000000000000001,Location 8/MP001
9,CH9,Sensor 9,mV,0.0000000000000001,Location 9/MP001
10,CH10,Sensor 10,mV,0.0000000000000001,Location 10/MP001
11,CH11,Sensor 11,mV,0.0000000000000001,Location 11/MP001
12,CH12,Sensor 12,mV,0.0000000000000001,Location 12/MP001
13,CH13,Sensor 13,mV,0.0000000000000001,Location 13/MP001
14,CH14,Sensor 14,mV,0.0000000000000001,Location 14/MP001
15,CH15,Sensor 15,mV,0.0000000000000001,Location 15/MP001
16,CH16,Sensor 16,mV,0.0000000000000001,Location 16/MP001
17,CH17,Sensor 17,mV,0.0000000000000001,Location 17/MP001
18,CH18,Sensor 18,mV,0.0000000000000001,Location 18/MP001
19,CH19,Sensor 19,mV,0.0000000000000001,Location 19/MP001
20,CH20,Sensor 20,mV,0.0000000000000001,Location 20/MP001
21,CH21,Sensor 21,mV,0.0000000000000001,Location 21/MP001
22,CH22,Sensor 22,mV,0.0000000000000001,Location 22/MP001
23,CH23,Sensor 23,mV,0.0000000000000001,Location 23/MP001
24,CH24,Sensor 24,mV,0.0000000000000001,Location 24/MP001
25,CH25,Sensor 25,mV,0.0000000000000001,Location 25/MP001
26,CH26,Sensor 26,mV,0.0000000000000001,Location 26/MP001
27,CH27,Sensor 27,mV,0.0000000000000001,Location 27/MP001
28,CH28,Sensor 28,mV,0.0000000000000001,Location 28/MP001
29,CH29,Sensor 29,mV,0.0000000000000001,Location 29/MP001
